event_id,name,artist_ids,art_forms,genres,language,city,venue,style,mood_tags,festival,festivals,event_type,date,capacity,ticket_price,status
E0027,Thai Pongal - Ragavan Wickremasinghe,"['A0074', 'A0015']",['dance'],"['sanni_yakuma', 'drum_centered', 'cha_cha', 'ritual_based', 'kolam_dance']",['tamil'],jaffna,Cinnamon Grand Ballroom,['contemporary'],"['romantic_longing', 'sad']",thai_pongal,['thai_pongal'],ritual_ceremony,2026-10-06T22:51:08.459837,2000,500,upcoming
E0028,Esala Perahera - Nalaka Weerasinghe,"['A0019', 'A0047']","['film', 'dance']","['ves_dance', 'supernatural_horror', 'avant_garde']","['english', 'sinhala']",chilaw,Gangaramaya Temple Grounds,"['contemporary', 'traditional', 'fusion']","['thriller_tension', 'graceful', 'angry']",esala_perahera,['esala_perahera'],performance,2026-10-16T22:51:08.459852,200,1000,upcoming
E0029,Evening with Sachini Sivarajah,['A0045'],['music'],"['film_songs', 'sinhala_rap', 'drill']","['english', 'sinhala']",anuradhapura,Paradise Road Gallery,['contemporary'],"['rebel', 'energetic', 'urban_street']",,[],performance,2026-09-25T22:51:08.459864,50,500,upcoming
E0030,Night of Ayesha Selvam,['A0071'],['film'],"['police_procedural', 'civil_war_themes']",['english'],galle,Paradise Road Gallery,['contemporary'],"['serious', 'party']",,[],ritual_ceremony,2026-08-07T22:51:08.459876,500,3000,upcoming
E0031,Evening with Vasanthi Rathnayake,['A0048'],['drama'],"['stage_musicals', 'opera']",['tamil'],trincomalee,Sugathadasa Indoor Stadium,['contemporary'],['war_tension'],,[],competition,2026-06-14T22:51:08.459888,200,0,upcoming
E0032,Celebration of Ayesha Selvam,"['A0071', 'A0037']","['film', 'drama']","['police_procedural', 'literary_adaptation', 'civil_war_themes']","['english', 'tamil']",galle,Colombo Racecourse,['contemporary'],"['celebratory', 'melancholic', 'serious']",,[],competition,2026-10-03T22:51:08.459901,100,2000,upcoming
E0033,Live Danushka Rajapaksa,['A0059'],['drama'],['historical_series'],['english'],kilinochchi,Lumbini Theatre (Havelock Town),['contemporary'],"['reflective', 'psychological', 'religious_reverence']",,[],ritual_ceremony,2026-10-11T22:51:08.459916,1000,500,upcoming
E0034,Evening with Buddhika Gunasekara,['A0057'],['drama'],"['stage_musicals', 'opera']",['sinhala'],colombo,Regal Theatre (Colombo),['contemporary'],"['dark', 'reflective']",,[],ritual_ceremony,2026-07-17T22:51:08.459928,1000,1000,upcoming
E0035,Celebration of Chaminda Herath,['A0081'],['music'],['party_baila'],['english'],batticaloa,Diyatha Uyana,['contemporary'],"['energetic', 'celebratory', 'party']",,[],workshop,2026-06-27T22:51:08.459939,50,2000,upcoming
E0036,Evening with Angeline Gunathilaka,"['A0030', 'A0041']",['dance'],"['ceremonial_dances', 'wedding_dances', 'ves_dance', 'pantheru']","['english', 'sinhala']",panadura,Colombo Hilton Grand Ballroom,"['contemporary', 'traditional']","['tense', 'spiritual', 'emotional']",,[],competition,2026-08-18T22:51:08.459952,100,2000,upcoming
E0037,Live Nalaka Weerasinghe,"['A0019', 'A0078']","['film', 'dance']","['tango', 'supernatural_horror', 'avant_garde']","['english', 'sinhala']",chilaw,Regal Theatre (Colombo),"['contemporary', 'fusion']","['suspense', 'angry', 'peaceful']",,[],exhibition,2026-08-23T22:51:08.459966,2000,1000,upcoming
E0038,Night of Ruwan Gunasekara,['A0084'],['drama'],"['physical_theatre', 'immersive_theatre']",['english'],ampara,Colombo Hilton Grand Ballroom,"['contemporary', 'fusion']","['tense', 'thriller_tension', 'heartbreak']",,[],concert,2026-06-13T22:51:08.459978,100,0,upcoming
E0039,Evening with Vindya Jayawardena,['A0024'],['music'],"['classical_fusion', 'ethnic_electronic', 'drill', 'sinhala_rap']","['english', 'sinhala']",galle,Galle Face Green,"['contemporary', 'fusion']","['rebel', 'energetic', 'urban_street']",,[],concert,2026-10-04T22:51:08.459989,2000,1500,upcoming
E0040,Live Kamala Jayasuriya,['A0089'],['film'],"['ancient_sri_lanka', 'colonial_era']",['tamil'],kilinochchi,Mount Lavinia Hotel Ballroom,['contemporary'],"['satirical', 'emotional']",,[],exhibition,2026-05-23T22:51:08.460001,200,500,upcoming
E0041,Live Kavinda Liyanage,['A0026'],['music'],"['ballads', 'modern_baila', 'sad_songs', 'party_baila']",['sinhala'],matale,Paradise Road Gallery,['contemporary'],"['energetic', 'celebratory', 'party']",,[],workshop,2026-05-31T22:51:08.460013,500,3000,upcoming
E0042,Live Thilini Amarasinghe,['A0095'],['drama'],['sokari'],['sinhala'],matale,Galadari Hotel Ballroom,['traditional'],"['dramatic', 'historical_nostalgia']",,[],ritual_ceremony,2026-05-25T22:51:08.460025,1000,1000,upcoming
E0043,Vesak - Nimesh Ekanayake,"['A0038', 'A0009']","['film', 'drama']","['literary_adaptation', 'political_theatre', 'kolam_theatre', 'social_justice', 'sokari']","['english', 'sinhala']",jaffna,Anuradhapura Cultural Centre,"['contemporary', 'traditional']","['suspense', 'melancholic', 'romantic']",vesak,['vesak'],festival,2026-09-24T22:51:08.460040,500,0,upcoming
E0044,Evening with Ruwan Gunasekara,['A0084'],['drama'],"['physical_theatre', 'immersive_theatre']",['english'],ampara,Tower Hall Theatre,"['contemporary', 'fusion']","['tense', 'thriller_tension', 'heartbreak']",,[],festival,2026-10-18T22:51:08.460053,100,1000,upcoming
E0045,Evening with Sachini Gunasekara,"['A0098', 'A0081']","['film', 'music']","['hindu_mythology', 'party_baila', 'avant_garde']","['english', 'sinhala']",matale,Bentota Beach Resort,"['contemporary', 'fusion']","['party', 'dramatic', 'energetic']",,[],exhibition,2026-10-30T22:51:08.460067,500,3000,upcoming
E0046,Evening with Amila De Silva,"['A0021', 'A0023']",['dance'],"['wedding_dances', 'drum_centered', 'ves_dance', 'new_year_dances', 'ritual_based', 'village_festival_dances']","['tamil', 'sinhala']",nuwara_eliya,Galle International Cricket Stadium,"['contemporary', 'traditional']","['political_intensity', 'spiritual', 'sacred']",,[],workshop,2026-10-26T22:51:08.460081,100,2000,upcoming
E0047,Night of Chitral Somapala,"['A0040', 'A0070', 'A0041']","['film', 'drama', 'dance']","['colonial_era', 'immersive_theatre', 'pantheru', 'crime_series', 'romance_series', 'ves_dance', 'physical_theatre']","['english', 'sinhala']",ratnapura,Maharagama Youth Centre,"['contemporary', 'traditional', 'fusion']","['devotional', 'heroic', 'romantic_longing']",,[],workshop,2026-08-29T22:51:08.460098,2000,1000,upcoming
E0048,Celebration of Hashini Samaraweera,['A0027'],['music'],['modern_baila'],['english'],panadura,Temple Trees Grounds,['contemporary'],"['energetic', 'celebratory', 'party']",,[],ritual_ceremony,2026-09-28T22:51:08.460110,2000,1000,upcoming
E0049,Night of Buddhika Gunasekara,"['A0057', 'A0050', 'A0000']","['film', 'drama']","['colonial_era', 'family_drama', 'romance_series', 'stage_musicals', 'biographical', 'opera']","['english', 'sinhala']",colombo,Nelum Pokuna Theatre,['contemporary'],"['rebel', 'urban_street', 'dark']",,[],exhibition,2026-10-10T22:51:08.460124,50,2000,upcoming
E0050,Night of Nimesh Ekanayake,"['A0038', 'A0000', 'A0028']","['film', 'drama', 'dance']","['literary_adaptation', 'colonial_era', 'naiyandi', 'political_theatre', 'pantheru', 'biographical', 'kolam_theatre', 'bharatanatyam', 'sokari']","['english', 'sinhala']",jaffna,Anuradhapura Cultural Centre,"['contemporary', 'traditional']","['rebel', 'satirical', 'urban_street']",,[],ritual_ceremony,2026-07-20T22:51:08.460141,1000,2000,upcoming
E0051,Night of Angelo Jayawardena,['A0058'],['film'],"['comedy_commercial', 'romantic_commercial']",['sinhala'],ambalangoda,Sugathadasa Indoor Stadium,['contemporary'],"['emotional', 'romantic']",,[],performance,2026-06-15T22:51:08.460154,200,1000,upcoming
E0052,Celebration of Nimesh Ekanayake,['A0038'],['drama'],"['literary_adaptation', 'political_theatre', 'kolam_theatre', 'sokari']",['sinhala'],jaffna,Gangaramaya Temple Grounds,['traditional'],['romantic'],,[],festival,2026-07-05T22:51:08.460166,2000,0,upcoming
E0053,Celebration of Dilini Silva,"['A0022', 'A0062']","['film', 'music']","['folk_fusion', 'civil_war_narratives']","['english', 'sinhala']",kandy,Bentota Beach Resort,"['contemporary', 'fusion']","['inspirational_biographical', 'rhythmic', 'suspenseful']",,[],ritual_ceremony,2026-06-04T22:51:08.460180,1000,3000,upcoming
E0054,Evening with Shehan Gunawardena,['A0073'],['music'],"['metal', 'alternative_rock', 'film_songs']","['english', 'sinhala']",ambalangoda,Temple Trees Grounds,['contemporary'],"['urban_street', 'ceremonial']",,[],concert,2026-05-25T22:51:08.460192,200,1000,upcoming
E0055,Evening with Kavitha Fernando,['A0015'],['dance'],"['sanni_yakuma', 'kolam_dance']",['tamil'],galle,Elphinstone Theatre,['contemporary'],['sad'],,[],competition,2026-10-12T22:51:08.460204,50,3000,upcoming
E0056,Night of Dinesh Fernando,['A0067'],['music'],"['raban_music', 'background_scores']",['sinhala'],ratnapura,Nelum Pokuna Theatre,['traditional'],"['political_awareness', 'intense', 'rural_village']",,[],exhibition,2026-06-18T22:51:08.460216,200,2000,upcoming
E0057,Live Nadeesha Jayawardena,['A0086'],['drama'],['crime_series'],['sinhala'],puttalam,Cinnamon Grand Ballroom,['contemporary'],['meditative'],,[],workshop,2026-10-10T22:51:08.460228,1000,2000,upcoming
E0058,Thai Pongal - Premasiri Khemadasa,['A0037'],['drama'],['literary_adaptation'],['tamil'],kilinochchi,Cinnamon Grand Ballroom,['contemporary'],"['celebratory', 'melancholic']",thai_pongal,['thai_pongal'],performance,2026-09-09T22:51:08.460239,1000,1000,upcoming
E0059,Night of Madhavi Pathirana,['A0051'],['music'],"['harvest_songs', 'sinhala_classical', 'virindu']",['sinhala'],ratnapura,Punchi Theatre (Borella),['traditional'],"['political_awareness', 'social_critique', 'uplifting']",,[],concert,2026-08-30T22:51:08.460254,2000,500,upcoming
E0060,Night of Nalaka Dissanayake,['A0025'],['film'],"['comedy_commercial', 'romantic_commercial']",['sinhala'],hambantota,Dalada Maligawa (Temple of the Tooth),['contemporary'],"['emotional', 'romantic']",,[],workshop,2026-10-24T22:51:08.460268,1000,500,upcoming
E0061,Evening with Kavitha Weerasinghe,['A0034'],['film'],"['colonial_era', 'romantic_comedy', 'biographical', 'romantic_drama']",['tamil'],jaffna,National Museum Auditorium,['contemporary'],"['rebel', 'energetic', 'urban_street']",,[],exhibition,2026-10-05T22:51:08.460281,50,0,upcoming
E0062,Night of Lakshman Gunasekara,['A0044'],['drama'],['sokari'],['sinhala'],badulla,Galle Fort Gateway,['traditional'],['festive'],,[],exhibition,2026-10-25T22:51:08.460292,50,1000,upcoming
E0063,Celebration of Thisara Bandara,"['A0078', 'A0056', 'A0079']","['film', 'dance']","['breaking', 'tango', 'military_themes', 'kpop_cover', 'romantic_drama']","['english', 'tamil', 'sinhala']",kandy,University of Peradeniya Open Air Theatre,['contemporary'],"['emotional', 'angry', 'romantic']",,[],workshop,2026-05-22T22:51:08.460307,100,500,upcoming
E0064,Celebration of Gayan Rathnayake,['A0093'],['music'],['buddhist_devotional'],['sinhala'],trincomalee,Gangaramaya Temple Grounds,['traditional'],"['spiritual', 'devotional']",,[],concert,2026-07-12T22:51:08.460319,1000,500,upcoming
E0065,Celebration of Anusha Kumara,['A0088'],['music'],"['alternative_rock', 'tamil_rock', 'sinhala_rap']",['sinhala'],ampara,Independence Square,['contemporary'],"['rebel', 'energetic', 'urban_street']",,[],exhibition,2026-09-03T22:51:08.460334,500,0,upcoming
E0066,Evening with Lasith Dissanayake,['A0068'],['drama'],"['romance_series', 'immersive_theatre', 'family_drama']",['sinhala'],gampaha,Anuradhapura Cultural Centre,"['contemporary', 'fusion']",['dramatic_ballad'],,[],performance,2026-09-27T22:51:08.460347,1000,1000,upcoming
E0067,Live Hiruni Wijesinghe,"['A0018', 'A0088']","['drama', 'music']","['immersive_theatre', 'alternative_rock', 'tamil_rock', 'sinhala_rap', 'physical_theatre']","['english', 'sinhala']",negombo,Lionel Wendt Theatre,"['contemporary', 'fusion']","['rebel', 'energetic', 'urban_street']",,[],workshop,2026-10-07T22:51:08.460360,2000,2000,upcoming
E0068,Evening with W.D. Amaradeva,['A0007'],['dance'],['hip_hop_dance'],"['english', 'sinhala']",chilaw,Regal Theatre (Colombo),['contemporary'],"['rebel', 'energetic', 'urban_street']",,[],performance,2026-10-16T22:51:08.460376,200,0,upcoming
E0069,Celebration of Nadeesha Herath,"['A0001', 'A0008']","['drama', 'music']","['traditional_baila', 'immersive_theatre', 'party_baila']","['english', 'sinhala']",nuwara_eliya,Temple Trees Grounds,"['contemporary', 'fusion']","['party', 'energetic', 'religious_reverence']",,[],competition,2026-07-19T22:51:08.460390,2000,3000,upcoming
E0070,Thai Pongal - Upeka,"['A0002', 'A0037']","['film', 'drama']","['literary_adaptation', 'biographical']","['tamil', 'sinhala']",panadura,Paradise Road Gallery,['contemporary'],"['rebel', 'urban_street', 'energetic']",thai_pongal,['thai_pongal'],workshop,2026-09-18T22:51:08.460404,2000,0,upcoming
E0071,Live Lasith Sivarajah,"['A0062', 'A0076', 'A0068']","['film', 'drama']","['literary_adaptation', 'civil_war_narratives', 'immersive_theatre', 'political_theatre', 'family_drama', 'stage_musicals', 'romance_series', 'opera']","['english', 'sinhala']",ratnapura,Gangaramaya Temple Grounds,"['contemporary', 'fusion']","['rhythmic', 'dramatic_ballad', 'inspirational_biographical']",,[],performance,2026-06-30T22:51:08.460419,1000,1500,upcoming
E0072,Celebration of Dinesh Fernando,['A0067'],['music'],"['raban_music', 'background_scores']",['sinhala'],ratnapura,Navarangahala (Borella),['traditional'],"['political_awareness', 'intense', 'rural_village']",,[],exhibition,2026-06-20T22:51:08.460431,50,1000,upcoming
E0073,Vesak - Nimesh Ekanayake,['A0038'],['drama'],"['literary_adaptation', 'political_theatre', 'kolam_theatre', 'sokari']",['sinhala'],jaffna,Tower Hall Theatre,['traditional'],['romantic'],vesak,['vesak'],festival,2026-10-18T22:51:08.460444,200,500,upcoming
E0074,Night of Samanthi Herath,"['A0003', 'A0071']",['film'],"['police_procedural', 'colonial_era', 'supernatural_horror', 'biographical', 'civil_war_themes']","['english', 'sinhala']",ratnapura,Lumbini Theatre (Havelock Town),['contemporary'],"['rebel', 'urban_street', 'party']",,[],performance,2026-06-18T22:51:08.460458,200,1500,upcoming
E0075,Night of Vasanthi Rathnayake,['A0048'],['drama'],"['stage_musicals', 'opera']",['tamil'],trincomalee,Waters Edge,['contemporary'],['war_tension'],,[],competition,2026-10-14T22:51:08.460469,2000,3000,upcoming
E0076,Evening with Shehan Gunawardena,['A0073'],['music'],"['metal', 'alternative_rock', 'film_songs']","['english', 'sinhala']",ambalangoda,University of Peradeniya Open Air Theatre,['contemporary'],"['urban_street', 'ceremonial']",,[],workshop,2026-07-29T22:51:08.460481,1000,1000,upcoming
E0077,Night of Kavinda Liyanage,['A0026'],['music'],"['ballads', 'modern_baila', 'sad_songs', 'party_baila']",['sinhala'],matale,Paradise Road Gallery,['contemporary'],"['energetic', 'celebratory', 'party']",,[],performance,2026-10-06T22:51:08.460493,1000,3000,upcoming
E0078,Night of Dharmadasa Walpola,"['A0039', 'A0088']",['music'],"['alternative_rock', 'tamil_rock', 'sinhala_rap', 'sad_songs']","['tamil', 'sinhala']",trincomalee,Waters Edge,['contemporary'],"['rebel', 'energetic', 'urban_street']",,[],performance,2026-06-17T22:51:08.460506,2000,2000,upcoming
E0079,Night of Ayesha Selvam,['A0071'],['film'],"['police_procedural', 'civil_war_themes']",['english'],galle,Colombo Racecourse,['contemporary'],"['serious', 'party']",,[],competition,2026-06-10T22:51:08.460518,100,1000,upcoming
E0080,Celebration of Dilini Samaraweera,"['A0097', 'A0040']","['drama', 'dance']","['immersive_theatre', 'crime_series', 'romance_series', 'sri_lankan_contemporary', 'physical_theatre']","['english', 'sinhala']",trincomalee,Galadari Hotel Ballroom,"['contemporary', 'fusion']","['heroic', 'tense', 'devotional']",,[],workshop,2026-07-27T22:51:08.460531,500,3000,upcoming
E0081,Celebration of Vindya Jayawardena,['A0024'],['music'],"['classical_fusion', 'ethnic_electronic', 'drill', 'sinhala_rap']","['english', 'sinhala']",galle,Galle Face Green,"['contemporary', 'fusion']","['rebel', 'energetic', 'urban_street']",,[],performance,2026-06-27T22:51:08.460543,50,2000,upcoming
E0082,Celebration of Thisara Bandara,"['A0078', 'A0029']","['drama', 'dance']","['crime_series', 'romance_series', 'tango']",['sinhala'],kandy,Cinnamon Lakeside Ballroom,['contemporary'],"['angry', 'meditative', 'political_intensity']",,[],performance,2026-07-09T22:51:08.460556,2000,0,upcoming
E0083,Celebration of Malsha Gunawardena,['A0099'],['film'],['police_procedural'],"['english', 'sinhala']",kurunegala,Kelaniya Raja Maha Vihara,['contemporary'],"['tense', 'tragic', 'rural_village']",,[],performance,2026-09-16T22:51:08.460568,1000,1500,upcoming
E0084,Night of Ruwan Rathnayake,['A0049'],['music'],"['ballads', 'acoustic_pop']","['english', 'sinhala']",kegalle,Dalada Maligawa (Temple of the Tooth),['contemporary'],"['spiritual', 'reflective', 'suspenseful']",,[],workshop,2026-06-15T22:51:08.460579,100,500,upcoming
E0085,Night of Dilini Samaraweera,['A0097'],['dance'],['sri_lankan_contemporary'],"['english', 'sinhala']",trincomalee,Bishop's College Auditorium,['contemporary'],['tense'],,[],exhibition,2026-08-24T22:51:08.460590,100,3000,upcoming
E0086,Celebration of Tharindu De Silva,"['A0008', 'A0022']",['music'],"['folk_fusion', 'traditional_baila', 'party_baila']","['english', 'sinhala']",jaffna,Sapumal Foundation,"['contemporary', 'fusion']","['energetic', 'celebratory', 'party']",,[],ritual_ceremony,2026-10-15T22:51:08.460603,500,3000,upcoming
E0087,Evening with Kasun Gunawardena,"['A0031', 'A0054']","['film', 'dance']","['devil_dance', 'interpretative', 'police_procedural', 'crime_drama']","['english', 'sinhala']",mannar,Cinnamon Grand Ballroom,['contemporary'],"['satirical', 'dramatic_ballad', 'political_intensity']",,[],ritual_ceremony,2026-05-21T22:51:08.460616,1000,3000,upcoming
E0088,Live Gayan Selvam,"['A0050', 'A0078']","['drama', 'dance']","['romance_series', 'tango', 'family_drama']","['english', 'sinhala']",jaffna,Bentota Beach Resort,['contemporary'],"['angry', 'peaceful', 'political_intensity']",,[],festival,2026-09-25T22:51:08.460628,1000,1000,upcoming
E0089,Evening with Buddhika Gunasekara,['A0057'],['drama'],"['stage_musicals', 'opera']",['sinhala'],colombo,Colombo University Arts Theatre,['contemporary'],"['dark', 'reflective']",,[],ritual_ceremony,2026-05-21T22:51:08.460640,100,2000,upcoming
E0090,Evening with Dilshan Fernando,"['A0005', 'A0071', 'A0049']","['film', 'dance', 'music']","['ballads', 'police_procedural', 'acoustic_pop', 'naiyandi', 'civil_war_themes']","['english', 'sinhala']",kandy,Waters Edge,"['contemporary', 'traditional']","['spiritual', 'heartbreak', 'party']",,[],ritual_ceremony,2026-05-23T22:51:08.460654,100,1000,upcoming
E0091,Esala Perahera - Nimesh Ekanayake,['A0038'],['drama'],"['literary_adaptation', 'political_theatre', 'kolam_theatre', 'sokari']",['sinhala'],jaffna,Regal Theatre (Colombo),['traditional'],['romantic'],esala_perahera,['esala_perahera'],workshop,2026-10-14T22:51:08.460667,50,1000,upcoming
E0092,Live Hiruni Wijesinghe,['A0018'],['drama'],"['physical_theatre', 'immersive_theatre']","['english', 'sinhala']",negombo,Colombo University Arts Theatre,"['contemporary', 'fusion']",['dramatic_ballad'],,[],ritual_ceremony,2026-10-23T22:51:08.460678,500,0,upcoming
E0093,Evening with Ragavan Wickremasinghe,['A0074'],['dance'],"['ritual_based', 'drum_centered', 'cha_cha']",['tamil'],jaffna,Colombo Racecourse,['contemporary'],['romantic_longing'],,[],performance,2026-08-19T22:51:08.460691,500,1000,upcoming
E0094,Celebration of Angelo Jayawardena,['A0058'],['film'],"['comedy_commercial', 'romantic_commercial']",['sinhala'],ambalangoda,Mount Lavinia Hotel Ballroom,['contemporary'],"['emotional', 'romantic']",,[],competition,2026-07-01T22:51:08.460705,500,0,upcoming
